ClosingTime,tx_count,hour,day_of_week,month,quarter,year,is_weekend
1989-03-03,4967,0,4,3,1,1989,0
1989-03-04,23439,0,5,3,1,1989,1
1989-03-05,23809,0,6,3,1,1989,1
1989-03-06,23665,0,0,3,1,1989,0
1989-03-07,23907,0,1,3,1,1989,0
1989-03-08,23873,0,2,3,1,1989,0
1989-03-09,23869,0,3,3,1,1989,0
1989-03-10,23885,0,4,3,1,1989,0
1989-03-11,23978,0,5,3,1,1989,1
1989-03-12,23798,0,6,3,1,1989,1
1989-03-13,23636,0,0,3,1,1989,0
1989-03-14,23539,0,1,3,1,1989,0
1989-03-15,23833,0,2,3,1,1989,0
1989-03-16,23804,0,3,3,1,1989,0
1989-03-17,24225,0,4,3,1,1989,0
1989-03-18,24040,0,5,3,1,1989,1
1989-03-19,23990,0,6,3,1,1989,1
1989-03-20,23684,0,0,3,1,1989,0
1989-03-21,23444,0,1,3,1,1989,0
1989-03-22,23195,0,2,3,1,1989,0
1989-03-23,24422,0,3,3,1,1989,0
1989-03-24,24226,0,4,3,1,1989,0
1989-03-25,23883,0,5,3,1,1989,1
1989-03-26,23810,0,6,3,1,1989,1
1989-03-27,23780,0,0,3,1,1989,0
1989-03-28,24246,0,1,3,1,1989,0
1989-03-29,24203,0,2,3,1,1989,0
1989-03-30,23253,0,3,3,1,1989,0
1989-03-31,23153,0,4,3,1,1989,0
1989-04-01,23726,0,5,4,2,1989,1
1989-04-02,23277,0,6,4,2,1989,1
1989-04-03,23152,0,0,4,2,1989,0
1989-04-04,23128,0,1,4,2,1989,0
1989-04-05,23018,0,2,4,2,1989,0
1989-04-06,23436,0,3,4,2,1989,0
1989-04-07,23686,0,4,4,2,1989,0
1989-04-08,23456,0,5,4,2,1989,1
1989-04-09,23336,0,6,4,2,1989,1
1989-04-10,23628,0,0,4,2,1989,0
1989-04-11,23381,0,1,4,2,1989,0
1989-04-12,23726,0,2,4,2,1989,0
1989-04-13,23925,0,3,4,2,1989,0
1989-04-14,23752,0,4,4,2,1989,0
1989-04-15,23761,0,5,4,2,1989,1
1989-04-16,24100,0,6,4,2,1989,1
1989-04-17,24032,0,0,4,2,1989,0
1989-04-18,23679,0,1,4,2,1989,0
1989-04-19,23999,0,2,4,2,1989,0
1989-04-20,23605,0,3,4,2,1989,0
1989-04-21,24038,0,4,4,2,1989,0
1989-04-22,24031,0,5,4,2,1989,1
1989-04-23,23513,0,6,4,2,1989,1
1989-04-24,23389,0,0,4,2,1989,0
1989-04-25,23708,0,1,4,2,1989,0
1989-04-26,23299,0,2,4,2,1989,0
1989-04-27,23565,0,3,4,2,1989,0
1989-04-28,23792,0,4,4,2,1989,0
1989-04-29,23431,0,5,4,2,1989,1
1989-04-30,23588,0,6,4,2,1989,1
1989-05-01,23868,0,0,5,2,1989,0
1989-05-02,24068,0,1,5,2,1989,0
1989-05-03,23610,0,2,5,2,1989,0
