ClosingTime,tx_count,hour,day_of_week,month,quarter,year,is_weekend
1989-03-03 18:00:00,45,18,4,3,1,1989,0
1989-03-03 19:00:00,991,19,4,3,1,1989,0
1989-03-03 20:00:00,1002,20,4,3,1,1989,0
1989-03-03 21:00:00,977,21,4,3,1,1989,0
1989-03-03 22:00:00,977,22,4,3,1,1989,0
1989-03-03 23:00:00,975,23,4,3,1,1989,0
1989-03-04 00:00:00,992,0,5,3,1,1989,1
1989-03-04 01:00:00,980,1,5,3,1,1989,1
1989-03-04 02:00:00,963,2,5,3,1,1989,1
1989-03-04 03:00:00,964,3,5,3,1,1989,1
1989-03-04 04:00:00,971,4,5,3,1,1989,1
1989-03-04 05:00:00,966,5,5,3,1,1989,1
1989-03-04 06:00:00,969,6,5,3,1,1989,1
1989-03-04 07:00:00,974,7,5,3,1,1989,1
1989-03-04 08:00:00,976,8,5,3,1,1989,1
1989-03-04 09:00:00,963,9,5,3,1,1989,1
1989-03-04 10:00:00,961,10,5,3,1,1989,1
1989-03-04 11:00:00,979,11,5,3,1,1989,1
1989-03-04 12:00:00,979,12,5,3,1,1989,1
1989-03-04 13:00:00,962,13,5,3,1,1989,1
1989-03-04 14:00:00,992,14,5,3,1,1989,1
1989-03-04 15:00:00,975,15,5,3,1,1989,1
1989-03-04 16:00:00,976,16,5,3,1,1989,1
1989-03-04 17:00:00,993,17,5,3,1,1989,1
1989-03-04 18:00:00,991,18,5,3,1,1989,1
1989-03-04 19:00:00,969,19,5,3,1,1989,1
1989-03-04 20:00:00,998,20,5,3,1,1989,1
1989-03-04 21:00:00,976,21,5,3,1,1989,1
1989-03-04 22:00:00,981,22,5,3,1,1989,1
1989-03-04 23:00:00,989,23,5,3,1,1989,1
1989-03-05 00:00:00,1000,0,6,3,1,1989,1
1989-03-05 01:00:00,990,1,6,3,1,1989,1
1989-03-05 02:00:00,1015,2,6,3,1,1989,1
1989-03-05 03:00:00,992,3,6,3,1,1989,1
1989-03-05 04:00:00,996,4,6,3,1,1989,1
1989-03-05 05:00:00,998,5,6,3,1,1989,1
1989-03-05 06:00:00,1013,6,6,3,1,1989,1
1989-03-05 07:00:00,976,7,6,3,1,1989,1
1989-03-05 08:00:00,983,8,6,3,1,1989,1
1989-03-05 09:00:00,987,9,6,3,1,1989,1
