ClosingTime,tx_count,hour,day_of_week,month,quarter,year,is_weekend,tx_count_lag_1,tx_count_lag_2,tx_count_lag_3,tx_count_lag_6,tx_count_lag_12,tx_count_lag_24,tx_count_lag_168,tx_count_rolling_mean_6,tx_count_rolling_std_6,tx_count_rolling_min_6,tx_count_rolling_max_6,tx_count_rolling_mean_12,tx_count_rolling_std_12,tx_count_rolling_min_12,tx_count_rolling_max_12,tx_count_rolling_mean_24,tx_count_rolling_std_24,tx_count_rolling_min_24,tx_count_rolling_max_24,tx_count_rolling_mean_168,tx_count_rolling_std_168,tx_count_rolling_min_168,tx_count_rolling_max_168
1989-03-03 18:00:00,45,18,4,3,1,1989,0,,,,,,,,,,,,,,,,,,,,,,,
1989-03-03 19:00:00,991,19,4,3,1,1989,0,45.0,,,,,,,,,,,,,,,,,,,,,,
1989-03-03 20:00:00,1002,20,4,3,1,1989,0,991.0,45.0,,,,,,,,,,,,,,,,,,,,,
1989-03-03 21:00:00,977,21,4,3,1,1989,0,1002.0,991.0,45.0,,,,,,,,,,,,,,,,,,,,
1989-03-03 22:00:00,977,22,4,3,1,1989,0,977.0,1002.0,991.0,,,,,,,,,,,,,,,,,,,,
1989-03-03 23:00:00,975,23,4,3,1,1989,0,977.0,977.0,1002.0,,,,,827.8333333333334,383.65214278909826,45.0,1002.0,,,,,,,,,,,,
1989-03-04 00:00:00,992,0,5,3,1,1989,1,975.0,977.0,977.0,45.0,,,,985.6666666666666,10.948363652467936,975.0,1002.0,,,,,,,,,,,,
1989-03-04 01:00:00,980,1,5,3,1,1989,1,992.0,975.0,977.0,991.0,,,,983.8333333333334,10.796604404472745,975.0,1002.0,,,,,,,,,,,,
1989-03-04 02:00:00,963,2,5,3,1,1989,1,980.0,992.0,975.0,1002.0,,,,977.3333333333334,9.309493362513216,963.0,992.0,,,,,,,,,,,,
1989-03-04 03:00:00,964,3,5,3,1,1989,1,963.0,980.0,992.0,977.0,,,,975.1666666666666,10.796604404472578,963.0,992.0,,,,,,,,,,,,
1989-03-04 04:00:00,971,4,5,3,1,1989,1,964.0,963.0,980.0,977.0,,,,974.1666666666666,10.870449239413999,963.0,992.0,,,,,,,,,,,,
1989-03-04 05:00:00,966,5,5,3,1,1989,1,971.0,964.0,963.0,975.0,,,,972.6666666666666,11.343133018116104,963.0,992.0,900.25,269.5987338114318,45.0,1002.0,,,,,,,,
1989-03-04 06:00:00,969,6,5,3,1,1989,1,966.0,971.0,964.0,992.0,45.0,,,968.8333333333334,6.242328625334815,963.0,980.0,977.25,12.226089838017849,963.0,1002.0,,,,,,,,
1989-03-04 07:00:00,974,7,5,3,1,1989,1,969.0,966.0,971.0,980.0,991.0,,,967.8333333333334,4.262237284182364,963.0,974.0,975.8333333333334,11.448170424160214,963.0,1002.0,,,,,,,,
1989-03-04 08:00:00,976,8,5,3,1,1989,1,974.0,969.0,966.0,963.0,1002.0,,,970.0,4.604345773289379,964.0,976.0,973.6666666666666,7.981038134038733,963.0,992.0,,,,,,,,
1989-03-04 09:00:00,963,9,5,3,1,1989,1,976.0,974.0,969.0,964.0,977.0,,,969.8333333333334,4.875106836436973,963.0,976.0,972.5,8.458454619223632,963.0,992.0,,,,,,,,
1989-03-04 10:00:00,961,10,5,3,1,1989,1,963.0,976.0,974.0,971.0,977.0,,,968.1666666666666,5.980523945832395,961.0,976.0,971.1666666666666,8.93240610294282,961.0,992.0,,,,,,,,
1989-03-04 11:00:00,979,11,5,3,1,1989,1,961.0,963.0,976.0,966.0,975.0,,,970.3333333333334,7.257180352359589,961.0,979.0,971.5,9.160190549824948,961.0,992.0,,,,,,,,
1989-03-04 12:00:00,979,12,5,3,1,1989,1,979.0,961.0,963.0,969.0,992.0,,,972.0,8.000000000000432,961.0,979.0,970.4166666666666,7.038315053184972,961.0,980.0,,,,,,,,
1989-03-04 13:00:00,962,13,5,3,1,1989,1,979.0,979.0,961.0,974.0,980.0,,,970.0,8.854377448471883,961.0,979.0,968.9166666666666,6.72117864844059,961.0,979.0,,,,,,,,
1989-03-04 14:00:00,992,14,5,3,1,1989,1,962.0,979.0,979.0,976.0,963.0,,,972.6666666666666,12.62801119205526,961.0,992.0,971.3333333333334,9.168457125417431,961.0,992.0,,,,,,,,
1989-03-04 15:00:00,975,15,5,3,1,1989,1,992.0,962.0,979.0,963.0,964.0,,,974.6666666666666,11.707547423208327,961.0,992.0,972.25,8.915002676796263,961.0,992.0,,,,,,,,
1989-03-04 16:00:00,976,16,5,3,1,1989,1,975.0,992.0,962.0,961.0,971.0,,,977.1666666666666,9.621157241552124,962.0,992.0,972.6666666666666,8.967956424083155,961.0,992.0,,,,,,,,
1989-03-04 17:00:00,993,17,5,3,1,1989,1,976.0,975.0,992.0,979.0,966.0,,,979.5,11.640446726822965,962.0,993.0,974.9166666666666,10.413787480882366,961.0,993.0,937.5833333333334,190.4413447681502,45.0,1002.0,,,,
1989-03-04 18:00:00,991,18,5,3,1,1989,1,993.0,976.0,975.0,979.0,969.0,45.0,,981.5,12.533953885346913,962.0,993.0,976.75,11.185420705706589,961.0,993.0,977.0,11.46260460575228,961.0,1002.0,,,,
1989-03-04 19:00:00,969,19,5,3,1,1989,1,991.0,993.0,976.0,962.0,974.0,991.0,,982.6666666666666,10.519822558706457,969.0,993.0,976.3333333333334,11.388457740053429,961.0,993.0,976.0833333333334,11.1702892674643,961.0,1002.0,,,,
1989-03-04 20:00:00,998,20,5,3,1,1989,1,969.0,991.0,993.0,992.0,976.0,1002.0,,983.6666666666666,11.792653080060868,969.0,998.0,978.1666666666666,12.988339759067884,961.0,998.0,975.9166666666666,10.790159231071227,961.0,998.0,,,,
1989-03-04 21:00:00,976,21,5,3,1,1989,1,998.0,969.0,991.0,975.0,963.0,977.0,,983.8333333333334,11.651895410904999,969.0,998.0,979.25,12.121543556075373,961.0,998.0,975.875,10.787724505195133,961.0,998.0,,,,
1989-03-04 22:00:00,981,22,5,3,1,1989,1,976.0,998.0,969.0,976.0,961.0,977.0,,984.6666666666666,11.147495981908623,969.0,998.0,980.9166666666666,10.672465279940237,962.0,998.0,976.0416666666666,10.836649436725368,961.0,998.0,,,,
1989-03-04 23:00:00,989,23,5,3,1,1989,1,981.0,976.0,998.0,993.0,979.0,975.0,,984.0,10.65833007557949,969.0,998.0,981.75,10.897247358852374,962.0,998.0,976.625,11.150404554953047,961.0,998.0,,,,
1989-03-05 00:00:00,1000,0,6,3,1,1989,1,989.0,981.0,976.0,991.0,979.0,992.0,,985.5,12.340988615179981,969.0,1000.0,983.5,12.041594578792955,962.0,1000.0,976.9583333333334,11.734301878667397,961.0,1000.0,,,,
1989-03-05 01:00:00,990,1,6,3,1,1989,1,1000.0,989.0,981.0,969.0,962.0,980.0,,989.0,9.338094023943045,976.0,1000.0,985.8333333333334,10.043843282270242,969.0,1000.0,977.375,12.021041335200357,961.0,1000.0,,,,
1989-03-05 02:00:00,1015,2,6,3,1,1989,1,990.0,1000.0,989.0,998.0,992.0,963.0,,991.8333333333334,14.020223488470732,976.0,1015.0,987.75,13.067134345372692,969.0,1015.0,979.5416666666666,13.862615245662028,961.0,1015.0,,,,
1989-03-05 03:00:00,992,3,6,3,1,1989,1,1015.0,990.0,1000.0,976.0,975.0,964.0,,994.5,11.743083070471686,981.0,1015.0,989.1666666666666,12.466925941235958,969.0,1015.0,980.7083333333334,13.674728092572174,961.0,1015.0,,,,
1989-03-05 04:00:00,996,4,6,3,1,1989,1,992.0,1015.0,990.0,981.0,976.0,971.0,,997.0,9.715966241192758,989.0,1015.0,990.8333333333334,11.869237038614108,969.0,1015.0,981.75,13.854052930773756,961.0,1015.0,,,,
1989-03-05 05:00:00,998,5,6,3,1,1989,1,996.0,992.0,1015.0,989.0,993.0,966.0,,998.5,8.89381807774347,990.0,1015.0,991.25,12.038763150001735,969.0,1015.0,983.0833333333334,13.812145464004699,961.0,1015.0,,,,
1989-03-05 06:00:00,1013,6,6,3,1,1989,1,998.0,996.0,992.0,1000.0,991.0,969.0,,1000.6666666666666,10.726913193769311,990.0,1015.0,993.0833333333334,13.574430062259509,969.0,1015.0,984.9166666666666,14.749846474268045,961.0,1015.0,,,,
