feature,importance
tx_count_rolling_mean_6,0.37098086
tx_count_lag_1,0.25049284
tx_count_rolling_max_6,0.10736871
tx_count_rolling_min_6,0.039734904
tx_count_rolling_min_168,0.035475574
tx_count_rolling_mean_12,0.019331766
tx_count_rolling_max_12,0.013658347
tx_count_lag_3,0.01314399
tx_count_rolling_std_6,0.013126887
tx_count_rolling_min_12,0.011635485
tx_count_rolling_mean_24,0.010409969
tx_count_lag_2,0.010166374
tx_count_rolling_min_24,0.010104511
tx_count_lag_6,0.009683237
tx_count_rolling_std_12,0.009631374
tx_count_rolling_max_24,0.009303128
tx_count_lag_12,0.008254791
tx_count_lag_168,0.0068617817
tx_count_rolling_std_24,0.0065632164
tx_count_rolling_std_168,0.006329194
tx_count_rolling_mean_168,0.0061185677
tx_count_lag_24,0.005968465
hour,0.0059197852
tx_count_rolling_max_168,0.0056363633
day_of_week,0.0038659552
is_weekend,0.0038500081
month,0.003789427
quarter,0.0025944922
year,0.0
