feature,importance
tx_count_rolling_mean_90,0.3262041
tx_count_rolling_min_7,0.2280317
tx_count_rolling_min_30,0.14249349
tx_count_rolling_min_14,0.13719134
tx_count_rolling_min_90,0.06956904
month,0.024245365
tx_count_rolling_mean_7,0.009519361
tx_count_rolling_max_7,0.0066259694
tx_count_rolling_max_14,0.006323119
tx_count_lag_7,0.0058342163
tx_count_lag_2,0.005608913
tx_count_lag_1,0.0053757057
tx_count_rolling_std_14,0.004470956
tx_count_lag_30,0.004392838
tx_count_rolling_std_90,0.0034144495
tx_count_lag_14,0.0027601006
tx_count_rolling_mean_30,0.0027233476
tx_count_rolling_max_90,0.0021594835
tx_count_rolling_std_7,0.002115612
tx_count_rolling_max_30,0.0019961535
day_of_week,0.0019372674
tx_count_rolling_std_30,0.0017344255
tx_count_lag_3,0.0016624976
tx_count_rolling_mean_14,0.0014802774
is_weekend,0.0014279139
quarter,0.00070232974
year,0.0
hour,0.0
